ID;Item_Description;IN KIT;Comment
1;ANTENNA CONTROL UNIT;VSAT DRCN KIT;When in DRCN E Box (Blue Box)
2;BASE TRANSCEIVER;HF RADIO KIT;When in HF Radio Kit
3;BASE TRANSCEIVER;LBM KIT;When in LBM Kit
4;BASE TRANSCEIVER;RBK KIT;When in RBK Kit
5;BASE TRANSCEIVER LB;LBM KIT;When in LBM Kit
6;BROTHER LABEL MAKER;DST KIT;When in DST Kit
7;BROTHER LABEL MAKER;MDST KIT;When in Mini-DST Kit
8;CP SIM CARD;;SIM Card in 1600 series CradlePoint
9;DEPLOYED SERVER;SERVER CASE;When in Deployed Server
10;DEPLOYED UPS;UPS CASE;When in Deployed Server
11;DRCN CABLE REEL;;VSAT Part
12;DRCN REFLECTOR BOTTOM;;VSAT Part
13;DRCN REFLECTOR TOP;;VSAT Part
14;FEED BOOM ASSEMBLY;;VSAT Part
15;FEED BOOM STRUT;;VSAT Part
16;KEYBOARD MONITOR;;Deployed Server Part
17;MODEM;;
18;MODEM/ROUTER, VIASAT;;VSAT Part
19;MONITOR;;Deployed Server Part
20;MONITOR/KEYBOARD;;Deployed Server Part
21;POWER SUPPLY;HF RADIO KIT;When in HF Radio Kit
22;POWER SUPPLY;UHM KIT;When in UHM Kit
23;POWER SUPPLY;FBL KIT;When in FBL Kit
24;POWER SUPPLY;DST KIT;When in DST Kit
25;POWER SUPPLY;MDST KIT;When in Mini DST Kit
26;POWER SUPPLY, 12VDC, 4AMP;DST KIT;When in DST Kit
27;POWER SUPPLY, 12VDC, 4AMP;MDST KIT;When in Mini DST Kit
28;POWER SUPPLY, 12VDC,15AMP;UHM KIT;When in UHM Kit
29;PROJECTOR;PROJECTOR KIT;When in Projector Kit
30;RADIO CHARGER POWER SUPPLY;;
31;ROUTER;DST SERVER;When in DST Server
32;ROUTER;SERVER CASE;When in Deployed Server
33;ROUTER;UPS CASE;When in Deployed Server
34;ROUTER;VSAT DRCN KIT;When in DRCN E Box
35;SATELLITE ROUTER;;
36;SWITCH;VSAT DRCN KIT;When in DRCN E Box
37;SWITCH;VSAT E KIT;When in VSAT E Box
38;SWITCH;DST SERVER;When in DST Server
39;SWITCH;SERVER CASE;When in Deployed Server/DST Server
40;SWITCH;UPS CASE;When in Deployed Server UPS
41;SWITCH;VSAT E KIT, 300;When in VSAT E Box
42;SWITCH;VSAT E KIT, 400;When in VSAT E Box
43;TURNBUCKLE ASSEMBLY;;VSAT Part
44;UPS;UPS CASE;When in Deployed Server UPS
45;UPS;VSAT DRCN KIT;When in DRCN E Box
46;USB BATTERY (KIT OF 6);;
47;VSAT BASE;;VSAT Part
48;VSAT CABLE REEL;;VSAT Part
49;VSAT CROSSARM;;VSAT Part
50;VSAT DRCN FLY AND DRIVE BASE;;VSAT Part
51;VSAT ELEVATION GUIDE;;VSAT Part
52;VSAT FEEDHORN;VSAT C KIT, 400;When in VSAT C Box
53;VSAT FEEDHORN;VSAT DRCN KIT;When in DRCN B (Pedestal) Box
54;VSAT FEEDHORN;VSAT C KIT;When in VSAT C Box
55;VSAT FEEDHORN;VSAT A KIT;When in VSAT A Box
56;VSAT FEEDHORN;VSAT DRCN FLY AND DRIVE CASE;When in DRCN B (Pedestal) Box
57;VSAT FEEDHORN;VSAT A KIT, 300;When in VSAT A Box
58;VSAT FEET;;VSAT Part
59;VSAT GPS;;VSAT Part
60;VSAT LEG;;VSAT Part
61;VSAT LEG ASSEMBLY;;VSAT Part
62;VSAT LNB;VSAT DRCN KIT;When in DRCN B (Pedestal) Box
63;VSAT LNB;VSAT DRCN FLY AND DRIVE CASE;When in DRCN B (Pedestal) Box
64;VSAT LNB;VSAT C KIT, 400;When in VSAT C Box
65;VSAT LNB;VSAT A KIT;When in VSAT A Box
66;VSAT LNB;VSAT A KIT, 300;When in VSAT A Box
67;VSAT LNB;VSAT C KIT;When in VSAT C Box
68;VSAT REFLECTOR;;VSAT Part
69;VSAT REFLECTOR BOTTOM;;VSAT Part
70;VSAT REFLECTOR TOP;;VSAT Part
71;VSAT SATELLITE ROUTER;VSAT E KIT, 300;When in VSAT E Box
72;VSAT SATELLITE ROUTER;VSAT E KIT, 400;When in VSAT E Box
73;VSAT SATELLITE ROUTER;VSAT E KIT;When in VSAT E Box
74;VSAT SATELLITE ROUTER;VSAT DRCN KIT;When in DRCN E Box
75;VSAT SUPPORT ARM;;VSAT Part
76;VSAT SUPPORT RODS;;VSAT Part
77;WEBOOST AMPLFIER;;BDA Part
78;WEBOOST ANTENNA EXTERIOR;;BDA Part
79;WEBOOST ANTENNA INTERIOR;;BDA Part
