ColorID;Color;ColorAbbr;ColorCode
1;BLUE, LIGHT;LBL;11393254
2;TURQUOISE;TRQ;4251856
3;BLUE, DARK;DBL;10325
4;BLUE;BLU;24248
5;AMETHYST;AME;10053324
6;PURPLE;PLE;8388736
7;LAVENDER;LAV;11894492
8;MAUVE;MVE;14725375
9;PINK;PNK;16711935
10;RED;RED;16711680
11;MAROON;MAR;8388608
12;ORANGE;ONG;16753920
13;COPPER;CPR;10770986
14;BRONZE;BRZ;10972433
15;TAN;TAN;12162907
16;GOLD;GLD;13211392
17;YELLOW;YEL;16702720
18;GREEN, LIGHT;LGR;9426621
19;GREEN;GRN;30537
20;GREEN, DARK;DGR;1394484
21;TEAL;TEA;35989
22;BROWN;BRO;5125673
23;CREAM;CRM;15853234
24;BEIGE;BGE;14535588
25;TAUPE;TPE;11708578
26;SILVER;SIL;13093319
27;CHROME;COM;10987690
28;GRAY;GRY;7698555
29;BLACK;BLK;2959654
30;WHITE;WHI;16777215
31;CAMOUFLAGE;CAM;16777215
32;MULTI-COLOR;MUL;16777215
